pay_date,code,total_amount,employees_paid,overtime_hours
2026-07-17,WETWEATHER,538.10,4,
2026-07-31,ALCASHOUT,772.35,10,
2026-07-31,ALLOADING,343.38,14,
2026-07-31,ANNLV,2707.28,2,
2026-07-31,APPRENTICEALLOW,20.00,13,
2026-07-31,CONFINEDALLOW,135.64,3,
2026-07-31,DIRFEE,1400.00,14,
2026-07-31,FIRSTAID,25.00,7,
2026-07-31,HEIGHTSALLOW,89.04,13,
2026-07-31,LEADHANDALLOW,100.93,4,
2026-07-31,LSLPORTABLE,2988.11,14,
2026-07-31,LSLTERM,3327.65,2,
2026-07-31,ORDHRS,35400.71,14,
2026-07-31,OT15,825.29,15,18.8
2026-07-31,OT20,393.36,7,10.5
2026-07-31,PPEALLOW,83.11,14,
2026-07-31,PRODUCTIVITYBON,107.24,15,7.2
2026-07-31,RDOACCRUAL,2695.17,6,
2026-07-31,SATPEN,1821.34,15,
2026-07-31,SICKLV,1009.53,12,
2026-07-31,SPECIALLEAVE,298.83,11,
2026-07-31,SUPERVISORALLOW,180.18,7,
2026-07-31,TOOLALLOWFLAT,32.00,13,
2026-07-31,TRAVELALLOW,55.00,11,
2026-07-31,WETWEATHER,694.81,2,
2026-08-14,ALCASHOUT,1001.68,7,
2026-08-14,ALLOADING,254.66,12,
2026-08-14,ALTERM,1545.04,3,
2026-08-14,ANNLV,2240.13,12,
2026-08-14,DIRFEE,1400.00,6,
2026-08-14,FIRSTAID,25.00,3,
2026-08-14,HEIGHTSALLOW,99.97,9,
2026-08-14,LEADHANDALLOW,147.65,11,
2026-08-14,ONCALLAH,80.11,7,
2026-08-14,ORDHRS,32349.23,9,
2026-08-14,OT20,376.76,14,17.2
2026-08-14,PPEALLOW,94.77,11,
2026-08-14,PRODUCTIVITYBON,124.58,5,8.5
2026-08-14,RDOACCRUAL,2699.48,7,
2026-08-14,SATPEN,2072.36,2,
2026-08-14,SICKLV,797.52,13,
2026-08-14,SUPERVISORALLOW,166.44,3,
2026-08-14,TOOLALLOWFLAT,32.00,7,
2026-08-14,TRAVELALLOW,55.00,13,
2026-08-14,WCOMPNOTWORK,994.56,8,
2026-08-28,ALLOADING,325.24,2,
2026-08-28,ANNLV,1517.25,6,
2026-08-28,DIRFEE,1400.00,12,
2026-08-28,FIRSTAID,25.00,8,
2026-08-28,HEIGHTSALLOW,111.75,9,
2026-08-28,LEADHANDALLOW,152.11,8,
2026-08-28,ORDHRS,35216.05,4,
2026-08-28,PPEALLOW,66.88,2,
2026-08-28,PRODUCTIVITYBON,148.75,9,10.8
2026-08-28,RDOACCRUAL,3057.27,13,
2026-08-28,RDOCASHOUT,376.28,10,
2026-08-28,REDUNDANCY,5795.11,2,
2026-08-28,SICKLV,1232.62,11,
2026-08-28,SIGNONBONUS,997.56,14,
2026-08-28,SUPERVISORALLOW,197.92,6,
2026-08-28,TOOLALLOWFLAT,32.00,12,
2026-08-28,TRAVELALLOW,55.00,6,
2026-09-11,ANNLV,1709.31,6,
2026-09-11,DIRFEE,1400.00,11,
2026-09-11,FIRSTAID,25.00,3,
2026-09-11,JURYDUTY,279.71,11,
2026-09-11,LSLINHOUSE,3888.39,5,
2026-09-11,ORDHRS,40442.93,10,
2026-09-11,RDOACCRUAL,2457.63,12,
2026-09-11,SICKLV,1084.12,14,
2026-09-11,SUPERVISORALLOW,118.53,4,
2026-09-11,TOILCASHOUT,418.06,5,
2026-09-11,TOOLALLOWFLAT,32.00,15,
2026-09-11,TRAVELALLOW,55.00,9,
